"Measurements made using standards comprising SHORT, OPEN, and 50Ω (actual 50.95Ω), via  a MS147 jack.  Cable data include a push-on female jack.  S22 (jack end) is worse than the S11 (SMA(f) end). Field loads are measured to be 19.6, 62.8 and 194.7Ω.  A priori values were 19.49, 49.99, and 194.65Ω.  Solder cracks formed during transport.",,,,,,,,
,,,,,,,,
,,,,,,,,
Frequency,S11,,S21,,S22,,,
(MHz),(dB),(°),(dB),(°),(dB),(°),,
103.555,-27.67347407,0.680839966,-0.091830789,-57.25635454,-31.28053769,-14.2702008,,
104.05,-27.67566331,0.300872125,-0.091457998,-57.52966919,-31.15644254,-14.63052206,,
104.545,-27.64762992,-0.405864749,-0.092668171,-57.80793611,-31.17067314,-14.93956519,,
105.04,-27.64009004,-0.519413423,-0.092557123,-58.07473479,-31.1189234,-15.30680663,,
105.535,-27.64210229,-0.928244546,-0.093776346,-58.34579954,-31.19753488,-15.53154024,,
106.03,-27.61348614,-1.313760901,-0.093266842,-58.61951048,-31.06921386,-15.79609298,,
106.525,-27.63043021,-1.724364532,-0.093188532,-58.89394848,-31.0117891,-15.92330265,,
107.02,-27.60556339,-2.137182638,-0.093532565,-59.16533802,-31.05429734,-16.34311338,,
107.515,-27.58232722,-2.71216282,-0.093185412,-59.43603257,-31.03950058,-16.02261612,,
108.01,-27.54548509,-3.090754553,-0.093251728,-59.70940722,-30.88242165,-17.19738643,,
108.505,-27.54213414,-3.398370442,-0.094053575,-59.982429,-30.87983553,-17.38580515,,
109,-27.56247421,-3.957921904,-0.094006375,-60.25704965,-30.90324193,-17.76285299,,
